submission_id,release_id,strategy_id,lot_id,mode_id,c0_mrub,opex_mrub_per_year,anchor_cash_mrub_per_year,commercial_cash_mrub_per_year,cash_mrub_per_year,vpub_mrub_per_year,lot_coverage_ratio,net_operating_balance,lot_funding_gap,portfolio_funding_gap,sum_lot_funding_gaps,shapley_mrub,coalition_grand_cost_mrub,coalition_core_ok
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,accepted_management,AGRI,C,254.79999999999998,71.25,13.5,114.0,127.5,142.6,1.7894736842105263,56.25,0.0,,,184.42375,850.9200000000001,True
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,accepted_management,ENV,A,294.0,78.75,55.0,21.25,76.25,360.0,0.9682539682539683,-2.5,2.5,,,213.70125000000002,850.9200000000001,True
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,accepted_management,FLOOD,A,357.0,94.5,85.0,11.25,96.25,600.0,1.0185185185185186,1.75,0.0,,,276.70124999999996,850.9200000000001,True
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,accepted_management,TRANS,C,245.0,66.5,20.25,90.25,110.5,136.4,1.6616541353383458,44.0,0.0,,,176.09375,850.9200000000001,True
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,accepted_management,TOTAL,,1150.8,311.0,173.75,236.75,410.5,1239.0,1.319935691318328,99.5,,0.0,2.5,850.9200000000001,850.9200000000001,True
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,weighted_mcda,AGRI,C,254.79999999999998,71.25,13.5,114.0,127.5,142.6,1.7894736842105263,56.25,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,weighted_mcda,ENV,A,294.0,78.75,55.0,21.25,76.25,360.0,0.9682539682539683,-2.5,2.5,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,weighted_mcda,FLOOD,A,357.0,94.5,85.0,11.25,96.25,600.0,1.0185185185185186,1.75,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,weighted_mcda,TRANS,C,245.0,66.5,20.25,90.25,110.5,136.4,1.6616541353383458,44.0,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,weighted_mcda,TOTAL,,1150.8,311.0,173.75,236.75,410.5,1239.0,1.319935691318328,99.5,,0.0,2.5,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,max_vpub,ENV,A,294.0,78.75,55.0,21.25,76.25,360.0,0.9682539682539683,-2.5,2.5,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,max_vpub,FIRE,A,336.0,89.25,75.0,8.75,83.75,560.0,0.938375350140056,-5.5,5.5,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,max_vpub,FLOOD,A,357.0,94.5,85.0,11.25,96.25,600.0,1.0185185185185186,1.75,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,max_vpub,INFRA,B,310.0,80.0,44.0,73.5,117.5,245.99999999999997,1.46875,37.5,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,max_vpub,TOTAL,,1297.0,342.5,259.0,114.75,373.75,1766.0,1.0912408759124088,31.25,,0.0,8.0,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,min_c0,AGRI,A,273.0,78.75,30.0,30.0,60.0,230.0,0.7619047619047619,-18.75,18.75,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,min_c0,ENV,C,274.4,71.25,24.75,80.75,105.5,223.2,1.4807017543859649,34.25,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,min_c0,FIRE,C,313.6,80.75,33.75,33.25,67.0,347.2,0.8297213622291022,-13.75,13.75,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,min_c0,TRANS,A,262.5,73.5,45.0,23.75,68.75,220.0,0.935374149659864,-4.75,4.75,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,min_c0,TOTAL,,1123.5,304.25,133.5,167.75,301.25,1020.4,0.990139687756779,-3.0,,3.0,37.25,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,equal_weights,AGRI,C,254.79999999999998,71.25,13.5,114.0,127.5,142.6,1.7894736842105263,56.25,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,equal_weights,ENV,A,294.0,78.75,55.0,21.25,76.25,360.0,0.9682539682539683,-2.5,2.5,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,equal_weights,FIRE,A,336.0,89.25,75.0,8.75,83.75,560.0,0.938375350140056,-5.5,5.5,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,equal_weights,TRANS,C,245.0,66.5,20.25,90.25,110.5,136.4,1.6616541353383458,44.0,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,equal_weights,TOTAL,,1129.8,305.75,163.75,234.25,398.0,1199.0,1.3017170891251022,92.25,,0.0,8.0,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,stress_action,AGRI,C,254.79999999999998,71.25,13.5,114.0,127.5,142.6,1.7894736842105263,56.25,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,stress_action,ENV,A,294.0,78.75,55.0,21.25,76.25,360.0,0.9682539682539683,-2.5,2.5,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,stress_action,FLOOD,A,357.0,94.5,85.0,11.25,96.25,600.0,1.0185185185185186,1.75,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,stress_action,TRANS,C,245.0,66.5,20.25,90.25,110.5,136.4,1.6616541353383458,44.0,0.0,,,,,
a9711d4e1869e0201ebb95693b41b0fdfc32de52fd8bad98443c992834424d26,1440406c1e25428a20717b280c0d0e4a74b396402eeef71b1819fb713ec9a7cc,stress_action,TOTAL,,1150.8,311.0,173.75,236.75,410.5,1239.0,1.319935691318328,99.5,,0.0,2.5,,,
