release_id,strategy_id,lot_id,mode_id,c0_mrub,opex_mrub_per_year,anchor_cash_mrub_per_year,commercial_cash_mrub_per_year,cash_mrub_per_year,net_operating_balance,lot_funding_gap,portfolio_funding_gap,sum_lot_funding_gaps
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,weighted_mcda,AGRI,C,254.79999999999998,71.25,13.5,114.0,127.5,56.25,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,weighted_mcda,ENV,A,294.0,78.75,55.0,21.25,76.25,-2.5,2.5,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,weighted_mcda,FLOOD,A,357.0,94.5,85.0,11.25,96.25,1.75,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,weighted_mcda,TRANS,C,245.0,66.5,20.25,90.25,110.5,44.0,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,weighted_mcda,TOTAL,,1150.8,311.0,173.75,236.75,410.5,99.5,,0.0,2.5
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,max_vpub,ENV,A,294.0,78.75,55.0,21.25,76.25,-2.5,2.5,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,max_vpub,FIRE,A,336.0,89.25,75.0,8.75,83.75,-5.5,5.5,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,max_vpub,FLOOD,A,357.0,94.5,85.0,11.25,96.25,1.75,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,max_vpub,INFRA,B,310.0,80.0,44.0,73.5,117.5,37.5,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,max_vpub,TOTAL,,1297.0,342.5,259.0,114.75,373.75,31.25,,0.0,8.0
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,min_c0,AGRI,A,273.0,78.75,30.0,30.0,60.0,-18.75,18.75,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,min_c0,ENV,C,274.4,71.25,24.75,80.75,105.5,34.25,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,min_c0,FIRE,C,313.6,80.75,33.75,33.25,67.0,-13.75,13.75,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,min_c0,TRANS,A,262.5,73.5,45.0,23.75,68.75,-4.75,4.75,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,min_c0,TOTAL,,1123.5,304.25,133.5,167.75,301.25,-3.0,,3.0,37.25
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,equal_weights,AGRI,C,254.79999999999998,71.25,13.5,114.0,127.5,56.25,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,equal_weights,ENV,A,294.0,78.75,55.0,21.25,76.25,-2.5,2.5,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,equal_weights,FIRE,A,336.0,89.25,75.0,8.75,83.75,-5.5,5.5,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,equal_weights,TRANS,C,245.0,66.5,20.25,90.25,110.5,44.0,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,equal_weights,TOTAL,,1129.8,305.75,163.75,234.25,398.0,92.25,,0.0,8.0
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,stress_action,AGRI,C,254.79999999999998,71.25,13.5,114.0,127.5,56.25,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,stress_action,ENV,A,294.0,78.75,55.0,21.25,76.25,-2.5,2.5,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,stress_action,FLOOD,A,357.0,94.5,85.0,11.25,96.25,1.75,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,stress_action,TRANS,C,245.0,66.5,20.25,90.25,110.5,44.0,0.0,,
67dafca9387cb5661419e35fae75c3911746bd783201ff302a5cde41c5d98296,stress_action,TOTAL,,1150.8,311.0,173.75,236.75,410.5,99.5,,0.0,2.5
